Date/Time,Action,Table Name / Player / Tournament #,Game,Payment method,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money,W Money,Amount_clean,Amount_numeric
2025/09/19 11:19 PM,Tournament Registration,3928911873,"PL Omaha Buy-In: 6.69/0.81 KOmania $7.50 PLO8 [7-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(7.50),0.00,0.00,0.00,46.61,0.00,0.00,0.00,-7.50,-7.5
2025/09/20 12:11 AM,Tournament Interim Payout,3928911873,,,USD,6.52,0.00,0.00,0.00,54.83,0.00,0.00,0.00,6.52,6.52
2025/09/20 12:34 AM,Tournament Won,3928911873,"PL Omaha Buy-In: 6.69/0.81 KOmania $7.50 PLO8 [7-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,2.27,0.00,0.00,0.00,57.10,0.00,0.00,0.00,2.27,2.27
2025/09/20 11:18 AM,Tournament Registration,3928912398,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(7.50),0.00,0.00,0.00,49.60,0.00,0.00,0.00,-7.50,-7.5
2025/09/20 11:38 AM,Tournament Re-entry,3928912398,,,USD,(7.50),0.00,0.00,0.00,42.10,0.00,0.00,0.00,-7.50,-7.5
2025/09/20 11:53 AM,Tournament Re-entry,3928912398,,,USD,(7.50),0.00,0.00,0.00,34.60,0.00,0.00,0.00,-7.50,-7.5
2025/09/20 1:07 PM,Tournament Registration,3928912424,"PL Courchevel Buy-In: 3.92/0.48 $4.40 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(4.40),0.00,0.00,0.00,30.20,0.00,0.00,0.00,-4.40,-4.4
2025/09/21 8:46 AM,Tournament Registration,3928911767,"PL Omaha Buy-In: 9.80/1.20 Sunday KOmania $11 PLO8 [Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(11.00),0.00,0.00,0.00,21.20,0.00,0.00,0.00,-11.00,-11.0
2025/09/21 9:20 AM,Tournament Re-entry,3928911767,,,USD,(11.00),0.00,0.00,0.00,10.20,0.00,0.00,0.00,-11.00,-11.0
2025/09/21 9:25 AM,Tournament Ticket Issued,7116039,,,USD,0.00,0.00,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.0
2025/09/21 9:26 AM,Tournament Re-entry,3928911767,,,USD,(11.00),0.00,0.00,0.00,2.20,0.00,0.00,0.00,-11.00,-11.0
2025/09/21 10:40 AM,Tournament Registration,3928912399,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(7.50),0.00,0.00,0.00,59.70,0.00,0.00,0.00,-7.50,-7.5
2025/09/21 12:44 PM,Tournament Interim Payout,3928912399,,,USD,6.13,0.00,0.00,0.00,78.58,0.00,0.00,0.00,6.13,6.13
2025/09/21 1:56 PM,Tournament Registration,3922277652,"NL Omaha Buy-In: 20.00/2.00 WCOOP 74-L: $22 NLO8 [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd - 2-Day Event",,USD,(22.00),0.00,0.00,0.00,67.21,0.00,0.00,0.00,-22.00,-22.0
2025/09/21 2:40 PM,Tournament Won,3928912399,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,21.18,0.00,0.00,0.00,94.13,0.00,0.00,0.00,21.18,21.18
2025/09/21 7:51 PM,Tournament Registration,3928912559,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,(2.20),0.00,0.00,0.00,91.93,0.00,0.00,0.00,-2.20,-2.2
2025/09/21 8:41 PM,Tournament Interim Payout,3928912559,,,USD,4.28,0.00,0.00,0.00,96.21,0.00,0.00,0.00,4.28,4.28
2025/09/22 2:31 PM,Tournament Registration,3922277669,"PL 5 Card Omaha Buy-In: 9.80/1.20 WCOOP 79-L: $11 5-Card PLO8 [6-Max], #PrizeGuaranteedShort# Gtd",,USD,(11.00),0.00,0.00,0.00,85.21,0.00,0.00,0.00,-11.00,-11.0
2025/09/22 2:49 PM,Tournament Re-entry,3922277669,,,USD,(11.00),0.00,0.00,0.00,74.21,0.00,0.00,0.00,-11.00,-11.0
2025/09/22 2:53 PM,Tournament Re-entry,3922277669,,,USD,(11.00),0.00,0.00,0.00,63.21,0.00,0.00,0.00,-11.00,-11.0
2025/09/22 3:52 PM,Tournament Registration,3929498992,"NL Courchevel Buy-In: 6.69/0.81 $7.50 NL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(7.50),0.00,0.00,0.00,55.71,0.00,0.00,0.00,-7.50,-7.5
2025/09/22 4:24 PM,Tournament Interim Payout,3922277669,,,USD,18.29,0.00,0.00,0.00,74.00,0.00,0.00,0.00,18.29,18.29
